flight_id,fl,mean_vs,mean_tas,median_vs,median_tas,mean_temp,mean_sh,obs
248750643,10,1079.74193548387,170.639374098039,896,168.783178434116,280.904239685417,0.00521423477276731,31
248750643,20,778.039215686275,198.940776636974,768,199.103454905553,280.664744724966,0.00522555419374974,51
248750643,30,2322.82352941176,256.037740855358,2624,267.218127865988,279.289920417377,0.00528937113798233,17
248750643,40,2905.6,272.881948242476,2944,272.414570745765,278.65279304867,0.00507690451896758,25
248750643,50,2876.63157894737,283.122532281124,2880,283.884172968322,277.23668336906,0.00474129121557872,19
248750643,60,2880,281.193457708291,2880,279.296247486903,276.19034972611,0.00454843951551524,19
248750643,70,3158.58823529412,272.61521913913,3200,271.739788038184,274.039655749234,0.00432171174627784,17
248750643,80,3203.36842105263,258.3700886411,3264,257.378143429981,272.119354956719,0.00401635730958769,19
248750643,90,2962.28571428571,255.839193622622,3008,255.496864546109,270.411376954143,0.00354798457268374,21
248750643,100,1633.77777777778,275.537366350295,1216,275.595994185842,268.307817155168,0.00299956633882248,36
248750643,110,1902,312.137935050235,1984,315.195226049575,266.793537810833,0.00262335842313382,32
248750643,120,2731.63636363636,327.733043538271,2816,328.085212080233,264.571678944151,0.0023095494833317,22
248750643,130,2912,334.160475182412,2944,334.639621508038,262.476782216183,0.00212891933834157,20
248750643,140,2840.38095238095,338.514560753835,2816,338.002455257479,260.351000958249,0.00195584209325313,21
248750643,150,2888.72727272727,341.967564297119,2880,342.15200363691,258.195699675395,0.00178625606233646,22
248750643,160,2589.09090909091,344.536194991268,2624,344.177319819012,256.029330859417,0.00158488322103969,22
248750643,170,1973.67741935484,355.089092784458,1984,355.095546905222,254.012911409706,0.00137073372335351,31
248750643,180,2357.76,365.874105192359,2368,365.970406620306,251.901074180649,0.00116167990440478,25
248750643,190,2522.66666666667,369.257588858238,2496,368.865328522874,249.494895679167,0.000970014002881067,24
248750643,200,2334.72,372.344372486267,2304,371.659713188613,247.214136800592,0.000792966620682463,25
248750643,210,2318.22222222222,375.833105913702,2304,375.667063542853,244.702265866101,0.000650036301090784,27
248750643,220,1995.03448275862,380.262358360016,1984,379.922927361376,242.137471739782,0.000528522542533419,29
248750643,230,1830.78787878788,387.812185858403,1856,388.188313018153,239.749932006572,0.000419980173488764,33
248750643,240,1688.88888888889,395.358798030121,1728,395.216940910602,237.252827529859,0.000346456017102662,36
248750643,250,1819.15151515152,403.076795418598,1600,403.887417027545,235.014365235329,0.000289457969675444,33
248750643,260,1996.8,401.861246276326,2016,401.682983624408,232.539175479852,0.000227905764303965,30
248750643,270,1878,402.144251123742,1856,402.315276756574,230.461618030688,0.000182833041190096,32
248750643,280,1357.09090909091,404.423030951026,1344,403.522873090994,228.290932250178,0.000137663403004098,44
248750643,290,1303.65217391304,413.155647408386,1312,413.116022095826,226.39485896673,9.87403432988856E-05,46
248750643,300,1292.25531914894,417.995433792851,1280,418.259277368899,224.341431319536,7.25351566988451E-05,47
248750643,310,1629.40540540541,417.34912392399,1664,416.867671145915,222.20895553694,6.44567593781803E-05,37
248750643,320,1503.17948717949,411.174641467937,1472,411.433326550673,220.144280007335,5.51413960457408E-05,39
248750643,330,874.366197183099,402.347610081132,960,401.336141101052,217.876713062602,4.18357849512063E-05,71
248750643,340,228.740740740741,405.422766046961,64,404.234519743716,217.532291986025,1.68990602842814E-05,270
248750690,10,1524.36363636364,159.680091593558,1280,159.14651649981,281.009802443036,0.00530967546533388,22
248750690,20,1109.01492537313,198.640095107439,1152,202.818620694117,280.549704169826,0.00534888938318523,67
248750690,30,2120,268.855433363595,1792,270.907253492247,279.254417015725,0.00540591977259235,40
248750690,40,2346.66666666667,274.363192677245,2112,274.998160593612,278.01451142654,0.00511562360368972,12
248750690,50,2197.33333333333,269.976470998995,1856,275.854284578557,277.574379373553,0.00501038369607495,45
248750690,60,2688,255.32347315625,2752,255.518330100517,274.978262734223,0.00454933486810327,4
248750690,70,2895.2380952381,253.8772028441,3008,252.941076154727,273.773364058085,0.00440540474121382,21
248750690,80,1442.34146341463,259.927402100666,1408,260.066162185383,271.856774837518,0.00395606664023708,41
248750690,90,1789.62962962963,257.958489109018,1600,257.920440905943,270.378436201183,0.00341532888684085,27
248750690,100,1345.42222222222,274.957633846917,1216,275.17662602893,268.372436537452,0.00285649441350522,45
248750690,110,1330.08695652174,314.454061261649,1120,315.853223507932,266.676017731475,0.00249314259088053,46
248750690,120,2347.52,330.592636454563,2432,329.756607215781,264.418464259203,0.00226187326202619,25
248750690,130,2078.89655172414,338.016845359003,2112,338.95732123642,262.426701427328,0.00215160149845738,29
248750690,140,2148.57142857143,342.465259489437,2240,342.04199847285,260.252755729686,0.00198384322800501,28
248750690,150,1928,348.413253495273,1856,349.045519060917,258.245888752965,0.00179958725066387,32
248750690,160,1635.55555555556,353.104292870893,1504,352.682427753467,256.02726169921,0.00157446884839377,36
248750690,170,1748.70588235294,361.010755898384,1792,361.046871942457,253.979772941122,0.00135744102809121,34
248750690,180,1522.87179487179,365.811042165741,1472,365.25325850368,251.681389304672,0.00113963559413343,39
248750690,190,1636.32432432432,372.99737729846,1664,372.881385701021,249.280524715,0.000955191699844519,37
248750690,200,1590.15384615385,376.01195229589,1536,376.514340352466,246.748010939722,0.000765160348239488,39
248750690,210,1314.90909090909,382.797849124409,1280,383.475074052816,244.247918712774,0.00062556625013309,44
248750690,220,1432.38095238095,388.385897671768,1472,388.6723934544,241.687138310615,0.000505874918540158,42
