flight_id,timestamp,altitude,speed,point,speed_ms,altitude_m,kinetic_energy,specific_energy
248750643,2022-01-01T05:33:38Z,2744.03085766733,214.563581773209,1,110.372212846301,836.33979203515,620.898336829213,1457.23812886436
248750643,2022-01-01T05:34:08Z,3985.85949240732,230.231581829372,2,118.431883657084,1214.8306895481,714.888433566014,1929.71912311411
248750643,2022-01-01T05:34:38Z,5246.85780507343,245.12165130446,3,126.091384415874,1599.16421977246,810.348482360438,2409.5127021329
248750643,2022-01-01T05:35:08Z,6524.04853681826,259.007434850671,4,133.234277186559,1988.43295849383,904.759052875888,2893.19201136972
248750643,2022-01-01T05:35:38Z,7810.50718857865,271.993667780707,5,139.9144381588,2380.52642138941,997.75993910768,3378.28636049709
248750643,2022-01-01T05:36:08Z,9097.74264654426,284.402216160573,6,146.297436296591,2772.8566432625,1090.87359158793,3863.73023485043
248750643,2022-01-01T05:36:38Z,10379.1741568771,296.488146244214,7,152.514478520686,3163.41790822222,1185.5589275452,4348.97683576742
248750643,2022-01-01T05:37:08Z,11652.7564391688,308.244394992788,8,158.561931580652,3551.5868452206,1281.44169962219,4833.0285448428
248750643,2022-01-01T05:37:38Z,12919.1496369156,319.489996483204,9,164.346706009879,3937.56465617666,1376.64830664105,5314.21296281771
248750643,2022-01-01T05:38:08Z,14176.9421383001,330.062353806851,10,169.785161423277,4320.92110280404,1469.26610802896,5790.187210833
248750643,2022-01-01T05:38:38Z,15421.663273586,339.888251316142,11,174.83963545069,4700.29359146176,1558.04781470593,6258.34140616769
248750643,2022-01-01T05:39:08Z,16647.4632801033,348.964243087744,12,179.508355497811,5073.89920149445,1642.36746654069,6716.26666803514
248750643,2022-01-01T05:39:38Z,17849.0541042648,357.307759830517,13,183.800287978661,5440.12621282072,1721.84229668903,7161.96850950975
248750643,2022-01-01T05:40:08Z,19022.5767249547,364.928040694929,14,187.720185542659,5797.79845320169,1796.06870846944,7593.86716167113
248750643,2022-01-01T05:40:38Z,20164.4527305876,371.857715423904,15,191.284833036988,6145.82527600963,1864.92799948972,8010.75327549935
248750643,2022-01-01T05:41:08Z,21271.1050219347,378.158546608274,16,194.526001341705,6483.11643460369,1928.66285412808,8411.77928873177
248750643,2022-01-01T05:41:38Z,22339.7760270524,383.890163188102,17,197.474363779888,6808.83146207022,1987.57004843381,8796.40151050403
248750643,2022-01-01T05:42:08Z,23369.2307102383,389.086001055328,18,200.147119884428,7122.59393789646,2041.73647288642,9164.33041078289
248750643,2022-01-01T05:42:38Z,24359.888548261,393.74523519451,19,202.543845264665,7424.5317123624,2090.92809656456,9515.45980892696
248750643,2022-01-01T05:43:08Z,25313.0229430322,397.849849585582,20,204.655272420567,7715.03289943072,2134.74926246363,9849.78216189436
248750643,2022-01-01T05:43:38Z,26229.6867437681,401.388011120493,21,206.475314362393,7994.418391883,2172.88763715847,10167.3060290415
248750643,2022-01-01T05:44:08Z,27109.5506700385,404.37891636388,22,208.013845866194,8262.58782994164,2205.39042161287,10467.9782515545
248750643,2022-01-01T05:44:38Z,27951.2046251716,406.856596995801,23,209.288372940227,8519.11143711418,2232.49862629804,10751.6100634122
248750643,2022-01-01T05:45:08Z,28753.2302772986,408.832227423616,24,210.304643736428,8763.55692694259,2254.23257783414,11017.7895047767
248750643,2022-01-01T05:45:38Z,29514.7970092739,410.270115836495,25,211.044298269802,8995.67113967507,2270.11701489262,11265.7881545677
248750643,2022-01-01T05:46:08Z,30234.9178457435,411.110210074927,26,211.476445511794,9215.15325990354,2279.42339481665,11494.5766547202
248750643,2022-01-01T05:46:38Z,30911.0243784386,411.314454268145,27,211.581509397194,9421.22047498891,2281.68884397527,11702.9093189642
248750643,2022-01-01T05:47:08Z,31538.1548160342,410.896987500081,28,211.366763117326,9612.36050473459,2277.0595591588,11889.4200638934
248750643,2022-01-01T05:47:38Z,32108.6813374661,409.949216476407,29,210.879226582514,9786.24850273272,2266.56718675021,12052.8156894829
248750643,2022-01-01T05:48:08Z,32613.3859366386,408.635075665871,30,210.203228223185,9940.0749578295,2252.05897836128,12192.1339361908
248750643,2022-01-01T05:48:38Z,33043.8662504744,407.153793304708,31,209.441251699953,10071.2789547316,2235.76136155162,12307.0403162832
248750690,2022-01-01T06:22:20Z,6381.49113533841,257.142967820248,1,132.275189207947,1944.9835828523,891.780106014173,2836.76368886648
248750690,2022-01-01T06:22:50Z,7367.74377677768,266.242656926484,2,136.956099242019,2245.57871892035,956.01290110039,3201.59162002074
248750690,2022-01-01T06:23:20Z,8347.80984382669,275.162088259866,3,141.544284084293,2544.28827913035,1021.14089484888,3565.42917397924
248750690,2022-01-01T06:23:50Z,9314.46665686561,284.280988094386,4,146.23507618024,2838.91089816081,1089.94380761675,3928.85470577755
248750690,2022-01-01T06:24:20Z,10266.1800346955,293.790189009145,5,151.126640436803,3128.97898040095,1164.080603961,4293.05958436195
248750690,2022-01-01T06:24:50Z,11205.268057458,303.603888445639,6,156.174839735411,3415.19904219993,1243.14885659436,4658.34789879428
248750690,2022-01-01T06:25:20Z,12136.5579803054,313.417548977895,7,161.223019021551,3699.04235912997,1324.81456995022,5023.85692908019
248750690,2022-01-01T06:25:50Z,13063.688062152,322.884712045448,8,166.092958871115,3981.6178183944,1406.05866394302,5387.67648233742
248750690,2022-01-01T06:26:20Z,13986.3018334877,331.762604011486,9,170.659775726073,4262.81677338852,1484.44235733301,5747.25913072152
248750690,2022-01-01T06:26:50Z,14900.9245218198,339.926626914282,10,174.859375984713,4541.58016513861,1558.39966206744,6099.97982720606
248750690,2022-01-01T06:27:20Z,15802.6994502699,347.346161104655,11,178.676008798691,4816.42775076801,1627.17207544495,6443.59982621296
248750690,2022-01-01T06:27:50Z,16686.9402724201,354.05096825607,12,182.124983670818,5085.93120159101,1690.59682350131,6776.52802509232
